permno,date,ret,prc,vol,shrout,cfacpr,cfacshr,ticker,adj_prc,adj_ret,adj_vol,adj_shrout,mktcap
86211,2018-06-20,-0.00369,135.0,57892.0,9412.0,10.0,10.0,MSTR,13.5,-0.00369,57892.0,94120.0,1270620.0
86211,2018-06-21,-0.018815,132.46001,44892.0,9412.0,10.0,10.0,MSTR,13.246001000000001,-0.018815,44892.0,94120.0,1246713.61412
86211,2018-06-22,-0.00989,131.14999,239180.0,9412.0,10.0,10.0,MSTR,13.114999000000001,-0.00989,239180.0,94120.0,1234383.70588
86211,2018-06-25,-0.018223,128.75999,66168.0,9412.0,10.0,10.0,MSTR,12.875998999999998,-0.018223,66168.0,94120.0,1211889.0258799999
86211,2018-06-26,0.006601,129.61,54365.0,9412.0,10.0,10.0,MSTR,12.961000000000002,0.006601,54365.0,94120.0,1219889.3200000003
86211,2018-06-27,-0.035105,125.06,62894.0,9412.0,10.0,10.0,MSTR,12.506,-0.035105,62894.0,94120.0,1177064.72
86211,2018-06-28,0.017911,127.3,67808.0,9412.0,10.0,10.0,MSTR,12.73,0.017911,67808.0,94120.0,1198147.6
86211,2018-06-29,0.003535,127.75,85399.0,9432.0,10.0,10.0,MSTR,12.775,0.003535,85399.0,94320.0,1204938.0
86211,2018-07-02,0.014716,129.63,110950.0,9432.0,10.0,10.0,MSTR,12.963,0.014716,110950.0,94320.0,1222670.16
86211,2018-07-03,0.016431,131.75999,39461.0,9432.0,10.0,10.0,MSTR,13.175999,0.016431,39461.0,94320.0,1242760.22568
86211,2018-07-05,0.01738,134.05,65774.0,9432.0,10.0,10.0,MSTR,13.405000000000001,0.01738,65774.0,94320.0,1264359.6
86211,2018-07-06,0.006192,134.88,48146.0,9432.0,10.0,10.0,MSTR,13.488,0.006192,48146.0,94320.0,1272188.16
86211,2018-07-09,0.001779,135.12,49228.0,9432.0,10.0,10.0,MSTR,13.512,0.001779,49228.0,94320.0,1274451.84
86211,2018-07-10,-0.00148,134.92,58645.0,9432.0,10.0,10.0,MSTR,13.491999999999999,-0.00148,58645.0,94320.0,1272565.44
86211,2018-07-11,-0.004892,134.25999,49320.0,9432.0,10.0,10.0,MSTR,13.425999,-0.004892,49320.0,94320.0,1266340.22568
86211,2018-07-12,0.015269,136.31,60436.0,9432.0,10.0,10.0,MSTR,13.631,0.015269,60436.0,94320.0,1285675.92
86211,2018-07-13,-0.003521,135.83,34783.0,9432.0,10.0,10.0,MSTR,13.583000000000002,-0.003521,34783.0,94320.0,1281148.5600000003
86211,2018-07-16,-0.003902,135.3,36015.0,9432.0,10.0,10.0,MSTR,13.530000000000001,-0.003902,36015.0,94320.0,1276149.6
86211,2018-07-17,-0.003104,134.88,34877.0,9432.0,10.0,10.0,MSTR,13.488,-0.003104,34877.0,94320.0,1272188.16
86211,2018-07-18,0.007043,135.83,45270.0,9432.0,10.0,10.0,MSTR,13.583000000000002,0.007043,45270.0,94320.0,1281148.5600000003
86211,2018-07-19,0.012589,137.53999,47630.0,9432.0,10.0,10.0,MSTR,13.753998999999999,0.012589,47630.0,94320.0,1297277.1856799999
86211,2018-07-20,-0.016359,135.28999,36460.0,9432.0,10.0,10.0,MSTR,13.528998999999999,-0.016359,36460.0,94320.0,1276055.1856799999
86211,2018-07-23,-0.008057,134.2,38208.0,9432.0,10.0,10.0,MSTR,13.419999999999998,-0.008057,38208.0,94320.0,1265774.4
86211,2018-07-24,-0.006557,133.32001,144522.0,9432.0,10.0,10.0,MSTR,13.332001,-0.006557,144522.0,94320.0,1257474.33432
86211,2018-07-25,0.014626,135.27,51896.0,9432.0,10.0,10.0,MSTR,13.527000000000001,0.014626,51896.0,94320.0,1275866.6400000001
86211,2018-07-26,0.015598,137.38,75259.0,9432.0,10.0,10.0,MSTR,13.738,0.015598,75259.0,94320.0,1295768.16
86211,2018-07-27,-0.059834,129.16,126839.0,9432.0,10.0,10.0,MSTR,12.916,-0.059834,126839.0,94320.0,1218237.12
86211,2018-07-30,-0.009523,127.93,91656.0,9432.0,10.0,10.0,MSTR,12.793000000000001,-0.009523,91656.0,94320.0,1206635.76
86211,2018-07-31,0.017353,130.14999,94638.0,9432.0,10.0,10.0,MSTR,13.014999,0.017353,94638.0,94320.0,1227574.70568
86211,2018-08-01,0.016596,132.31,72463.0,9432.0,10.0,10.0,MSTR,13.231,0.016596,72463.0,94320.0,1247947.92
86211,2018-08-02,0.032046,136.55,225153.0,9432.0,10.0,10.0,MSTR,13.655000000000001,0.032046,225153.0,94320.0,1287939.6
86211,2018-08-03,-0.012157,134.89,61522.0,9432.0,10.0,10.0,MSTR,13.488999999999999,-0.012157,61522.0,94320.0,1272282.48
86211,2018-08-06,0.016903,137.17,162202.0,9432.0,10.0,10.0,MSTR,13.716999999999999,0.016903,162202.0,94320.0,1293787.44
86211,2018-08-07,0.00503,137.86,48513.0,9432.0,10.0,10.0,MSTR,13.786000000000001,0.00503,48513.0,94320.0,1300295.52
86211,2018-08-08,0.000798,137.97,73379.0,9432.0,10.0,10.0,MSTR,13.797,0.000798,73379.0,94320.0,1301333.04
