PERMNO,date,TICKER,COMNAM,CFACPR
93002,2021-01-20,AVGO,BROADCOM INC,10
93002,2021-01-21,AVGO,BROADCOM INC,10
93002,2021-01-22,AVGO,BROADCOM INC,10
93002,2021-01-25,AVGO,BROADCOM INC,10
93002,2021-01-26,AVGO,BROADCOM INC,10
93002,2021-01-27,AVGO,BROADCOM INC,10
93002,2021-01-28,AVGO,BROADCOM INC,10
93002,2021-01-29,AVGO,BROADCOM INC,10
93002,2021-02-01,AVGO,BROADCOM INC,10
93002,2021-02-02,AVGO,BROADCOM INC,10
93002,2021-02-03,AVGO,BROADCOM INC,10
93002,2021-02-04,AVGO,BROADCOM INC,10
93002,2021-02-05,AVGO,BROADCOM INC,10
93002,2021-02-08,AVGO,BROADCOM INC,10
93002,2021-02-09,AVGO,BROADCOM INC,10
93002,2021-02-10,AVGO,BROADCOM INC,10
93002,2021-02-11,AVGO,BROADCOM INC,10
93002,2021-02-12,AVGO,BROADCOM INC,10
93002,2021-02-16,AVGO,BROADCOM INC,10
93002,2021-02-17,AVGO,BROADCOM INC,10
93002,2021-02-18,AVGO,BROADCOM INC,10
93002,2021-02-19,AVGO,BROADCOM INC,10
93002,2021-02-22,AVGO,BROADCOM INC,10
93002,2021-02-23,AVGO,BROADCOM INC,10
93002,2021-02-24,AVGO,BROADCOM INC,10
93002,2021-02-25,AVGO,BROADCOM INC,10
93002,2021-02-26,AVGO,BROADCOM INC,10
93002,2021-03-01,AVGO,BROADCOM INC,10
93002,2021-03-02,AVGO,BROADCOM INC,10
93002,2021-03-03,AVGO,BROADCOM INC,10
93002,2021-03-04,AVGO,BROADCOM INC,10
93002,2021-03-05,AVGO,BROADCOM INC,10
93002,2021-03-08,AVGO,BROADCOM INC,10
93002,2021-03-09,AVGO,BROADCOM INC,10
93002,2021-03-10,AVGO,BROADCOM INC,10
93002,2021-03-11,AVGO,BROADCOM INC,10
93002,2021-03-12,AVGO,BROADCOM INC,10
93002,2021-03-15,AVGO,BROADCOM INC,10
93002,2021-03-16,AVGO,BROADCOM INC,10
93002,2021-03-17,AVGO,BROADCOM INC,10
93002,2021-03-18,AVGO,BROADCOM INC,10
93002,2021-03-19,AVGO,BROADCOM INC,10
93002,2021-03-22,AVGO,BROADCOM INC,10
93002,2021-03-23,AVGO,BROADCOM INC,10
93002,2021-03-24,AVGO,BROADCOM INC,10
93002,2021-03-25,AVGO,BROADCOM INC,10
93002,2021-03-26,AVGO,BROADCOM INC,10
93002,2021-03-29,AVGO,BROADCOM INC,10
93002,2021-03-30,AVGO,BROADCOM INC,10
93002,2021-03-31,AVGO,BROADCOM INC,10
93002,2021-04-01,AVGO,BROADCOM INC,10
93002,2021-04-05,AVGO,BROADCOM INC,10
93002,2021-04-06,AVGO,BROADCOM INC,10
93002,2021-04-07,AVGO,BROADCOM INC,10
93002,2021-04-08,AVGO,BROADCOM INC,10
93002,2021-04-09,AVGO,BROADCOM INC,10
93002,2021-04-12,AVGO,BROADCOM INC,10
93002,2021-04-13,AVGO,BROADCOM INC,10
93002,2021-04-14,AVGO,BROADCOM INC,10
93002,2021-04-15,AVGO,BROADCOM INC,10
93002,2021-04-16,AVGO,BROADCOM INC,10
93002,2021-04-19,AVGO,BROADCOM INC,10
93002,2021-04-20,AVGO,BROADCOM INC,10
93002,2021-04-21,AVGO,BROADCOM INC,10
93002,2021-04-22,AVGO,BROADCOM INC,10
93002,2021-04-23,AVGO,BROADCOM INC,10
93002,2021-04-26,AVGO,BROADCOM INC,10
93002,2021-04-27,AVGO,BROADCOM INC,10
93002,2021-04-28,AVGO,BROADCOM INC,10
93002,2021-04-29,AVGO,BROADCOM INC,10
93002,2021-04-30,AVGO,BROADCOM INC,10
93002,2021-05-03,AVGO,BROADCOM INC,10
93002,2021-05-04,AVGO,BROADCOM INC,10
93002,2021-05-05,AVGO,BROADCOM INC,10
93002,2021-05-06,AVGO,BROADCOM INC,10
93002,2021-05-07,AVGO,BROADCOM INC,10
93002,2021-05-10,AVGO,BROADCOM INC,10
93002,2021-05-11,AVGO,BROADCOM INC,10
93002,2021-05-12,AVGO,BROADCOM INC,10
93002,2021-05-13,AVGO,BROADCOM INC,10
93002,2021-05-14,AVGO,BROADCOM INC,10
93002,2021-05-17,AVGO,BROADCOM INC,10
93002,2021-05-18,AVGO,BROADCOM INC,10
93002,2021-05-19,AVGO,BROADCOM INC,10
93002,2021-05-20,AVGO,BROADCOM INC,10
93002,2021-05-21,AVGO,BROADCOM INC,10
93002,2021-05-24,AVGO,BROADCOM INC,10
93002,2021-05-25,AVGO,BROADCOM INC,10
93002,2021-05-26,AVGO,BROADCOM INC,10
93002,2021-05-27,AVGO,BROADCOM INC,10
93002,2021-05-28,AVGO,BROADCOM INC,10
93002,2021-06-01,AVGO,BROADCOM INC,10
93002,2021-06-02,AVGO,BROADCOM INC,10
93002,2021-06-03,AVGO,BROADCOM INC,10
93002,2021-06-04,AVGO,BROADCOM INC,10
93002,2021-06-07,AVGO,BROADCOM INC,10
93002,2021-06-08,AVGO,BROADCOM INC,10
93002,2021-06-09,AVGO,BROADCOM INC,10
93002,2021-06-10,AVGO,BROADCOM INC,10
93002,2021-06-11,AVGO,BROADCOM INC,10
93002,2021-06-14,AVGO,BROADCOM INC,10
93002,2021-06-15,AVGO,BROADCOM INC,10
93002,2021-06-16,AVGO,BROADCOM INC,10
